id,lat,long,name
6000,4.9183791207753025,-137.6724707100309,kkkm
6000,4.867518031069833,-137.63629451994296,kkkm
6000,4.816654608604652,-137.60012449969352,kkkm
6000,4.765788880061736,-137.5639605852893,kkkm
6000,4.714920872110818,-137.5278027127636,kkkm
6000,4.664050611406697,-137.4916508181778,kkkm
6000,4.613178124591938,-137.45550483762145,kkkm
6000,4.5623034382944345,-137.4193647072013,kkkm
6000,4.511426579129664,-137.38323036305934,kkkm
6000,4.460547573699366,-137.34710174135571,kkkm
6000,4.409666448594398,-137.31097877828103,kkkm
6000,4.3587832303889265,-137.2748614100478,kkkm
6000,4.307897945649405,-137.2387495728954,kkkm
6000,4.257010620925555,-137.2026432030802,kkkm
6000,4.206121282756901,-137.16654223689085,kkkm
6000,4.155229957670847,-137.1304466106381,kkkm
6000,4.104336672180778,-137.09435626065357,kkkm
6000,4.053441452790354,-137.0582711232911,kkkm
6000,4.002544325990873,-137.0221911349294,kkkm
6000,3.9516453182614675,-136.98611623197192,kkkm
6000,3.9007444560697415,-136.9500463508395,kkkm
6000,3.8498417658728896,-136.9139814279805,kkkm
6000,3.798937274114926,-136.87792139985888,kkkm
6000,3.748031007231183,-136.84186620296796,kkkm
6000,3.6971229916436332,-136.8058157738117,kkkm
6000,3.6462132537658944,-136.76977004892447,kkkm
6000,3.5953018199992934,-136.73372896486006,kkkm
6000,3.5443887167343306,-136.697692458185,kkkm
6000,3.493473970351947,-136.6616604654953,kkkm
6000,3.4425576072233337,-136.62563292340212,kkkm
6000,3.391639653707725,-136.589609768535,kkkm
6000,3.3407201361564143,-136.5535909375468,kkkm
6000,3.289799080909854,-136.5175763671086,kkkm
6000,3.238876514298179,-136.48156599390884,kkkm
6000,3.1879524626430173,-136.4455597546509,kkkm
6000,3.137026952255818,-136.40955758606293,kkkm
6000,3.0861000094393263,-136.37355942488952,kkkm
6000,3.0351716604873538,-136.3375652078897,kkkm
6000,2.9842419316840463,-136.30157487184576,kkkm
6000,2.9333108493041737,-136.26558835354788,kkkm
6000,2.882378439615001,-136.22960558981168,kkkm
6000,2.831444728873956,-136.19362651746567,kkkm
6000,2.780509743331266,-136.15765107335872,kkkm
6000,2.72957350922844,-136.12167919434745,kkkm
6000,2.6786360527988804,-136.0857108173134,kkkm
6000,2.627697400266438,-136.04974587914742,kkkm
6000,2.576757577848846,-136.01378431675693,kkkm
6000,2.525816611755192,-135.97782606706755,kkkm
6000,2.474874528188053,-135.94187106701676,kkkm
6000,2.4239313533401385,-135.9059192535546,kkkm
6000,2.3729871134003115,-135.86997056365055,kkkm
6000,2.3220418345464466,-135.83402493428508,kkkm
6000,2.271095542951701,-135.79808230245166,kkkm
6000,2.2201482647813315,-135.76214260515653,kkkm
6000,2.169200026195029,-135.72620577942467,kkkm
6000,2.1182508533429836,-135.69027176228343,kkkm
6000,2.0673007723730388,-135.65434049078445,kkkm
6000,2.016349809422837,-135.61841190198237,kkkm
6000,1.9653979906254502,-135.58248593295048,kkkm
6000,1.9144453421078593,-135.54656252076992,kkkm
6000,1.863491889989834,-135.51064160253114,kkkm
6000,1.8125376603869061,-135.47472311534608,kkkm
6000,1.7615826794084575,-135.4388069963243,kkkm
6000,1.7106269731576573,-135.40289318259605,kkkm
6000,1.6596705677328332,-135.36698161129723,kkkm
6000,1.6087134892264354,-135.33107221957334,kkkm
6000,1.5577557637256005,-135.29516494458383,kkkm
6000,1.5067974173134446,-135.25925972349424,kkkm
6000,1.4558384760672232,-135.22335649348034,kkkm
6000,1.404878966060194,-135.1874551917262,kkkm
6000,1.353918913360772,-135.15155575542832,kkkm
6000,1.3029583440317163,-135.1156581217857,kkkm
6000,1.251997284132461,-135.07976222801028,kkkm
6000,1.2010357597188424,-135.04386801132244,kkkm
6000,1.1500737968411106,-135.00797540894672,kkkm
6000,1.0991114215469506,-134.9720843581173,kkkm
6000,1.048148659879718,-134.93619479607383,kkkm
6000,0.9971855378783466,-134.90030666006626,kkkm
6000,0.9462220815787913,-134.86441988734762,kkkm
6000,0.8952583170136423,-134.82853441518031,kkkm
6000,0.8442942702122975,-134.79265018082717,kkkm
6000,0.7933299672014225,-134.75676712156536,kkkm
6000,0.7423654340040389,-134.72088517467066,kkkm
6000,0.69140069664,-134.68500427742865,kkkm
6000,0.6404357811268321,-134.64912436712683,kkkm
6000,0.5894707134792052,-134.6132453810571,kkkm
6000,0.5385055197107722,-134.57736725651964,kkkm
6000,0.48754022582993045,-134.54148993081762,kkkm
6000,0.4365748578465816,-134.50561334125476,kkkm
6000,0.3856094417654375,-134.46973742514,kkkm
6000,0.3346440035905752,-134.43386211978898,kkkm
