Time,OEM Velocity,TLE Velocity,OEM Speed,TLE Speed,Difference,Error
2023-07-03 12:00:00+00:00,[4.96638633 4.67914198 3.49789354],[4.76080002 5.1995243  3.00518551],7.667765126179589,7.663642070312072,0.004123055867516712,0.0537712853702262
2023-07-03 12:04:00+00:00,[4.29043258 6.01109899 2.06393195],[3.96677936 6.38139921 1.50670541],7.668176961004779,7.663403657383269,0.004773303621509406,0.06224821943707398
2023-07-03 12:08:00+00:00,[3.30177343 6.9045536  0.47932098],[ 2.88456692  7.09890902 -0.1011888 ],7.668397277014335,7.66325484352585,0.005142433488484421,0.06706008182307699
2023-07-03 12:12:00+00:00,[ 2.0724124   7.29459732 -1.14034075],[ 1.59262588  7.30023805 -1.70168707],7.6685344300683695,7.663267687808251,0.005266742260118917,0.06867990628649966
2023-07-03 12:16:00+00:00,[ 0.69169423  7.15276648 -2.67694637],[ 0.18449534  6.97066691 -3.17850847],7.668542960744338,7.663364262729025,0.00517869801531301,0.06753170767671289
2023-07-03 12:20:00+00:00,[-0.73992419  6.48913979 -4.01820513],[-1.23767225  6.13375096 -4.42403881],7.668272000231017,7.663344753624304,0.004927246606713176,0.06425497956468858
2023-07-03 12:24:00+00:00,[-2.11792869  5.35188666 -5.06577834],[-2.57029967  4.85004    -5.34711099],7.667491302303045,7.662957937142137,0.004533365160908076,0.05912449042552435
2023-07-03 12:28:00+00:00,[-3.34138934  3.82418544 -5.74268379],[-3.71596964  3.21311641 -5.87993021],7.666009011589361,7.661992344617835,0.004016666971526028,0.05239580289370505
2023-07-03 12:32:00+00:00,[-4.32060592  2.01831748 -5.99929941],[-4.59084851  1.34289742 -5.98346514],7.6637350119244045,7.660360211951603,0.0033747999728017675,0.044035968983149085
2023-07-03 12:36:00+00:00,[-4.98407997  0.06719459 -5.81734355],[-5.13120136 -0.62344642 -5.65060402],7.660747632280577,7.658148512207842,0.002599120072734884,0.033927760024136645
2023-07-03 12:40:00+00:00,[-5.28399784 -1.88595076 -5.21126172],[-5.29824335 -2.54212209 -4.90660426],7.657329309916747,7.6556209869248235,0.0017083229919236942,0.02230964508358421
2023-07-03 12:44:00+00:00,[-5.19966898 -3.69877403 -4.22670574],[-5.08080126 -4.27373375 -3.80679076],7.653922406501956,7.653169112214583,0.0007532942873735848,0.009841937863567395
2023-07-03 12:48:00+00:00,[-4.73849834 -5.24036355 -2.93651115],[-4.49564408 -5.69352572 -2.43190937],7.651004796735254,7.65122434381898,-0.00021954708372629028,0.002869519619435774
2023-07-03 12:52:00+00:00,[-3.93487236 -6.40046496 -1.43483147],[-3.58571572 -6.69999193 -0.88182794],7.649046580214209,7.650154879889775,-0.0011082996755655827,0.014489383270751964
2023-07-03 12:56:00+00:00,[-2.84713524 -7.09664377  0.1698727 ],[-2.41671254 -7.2214466   0.73169809],7.6483585539645675,7.650174679637312,-0.001816125672744029,0.023745299856563738
2023-07-03 13:00:00+00:00,[-1.55336297 -7.27935864  1.76229118],[-1.07244001 -7.2205119   2.29266427],7.649030583277142,7.651289377185258,-0.002258793908116452,0.02953045988670498
2023-07-03 13:04:00+00:00,[-0.14612132 -6.93511351  3.22794643],[ 0.35076946 -6.69659417  3.68856259],7.650933863052304,7.65329384345765,-0.0023599804053464624,0.030845651623564806
2023-07-03 13:08:00+00:00,[ 1.27357718 -6.08758728  4.46084047],[ 1.75044031 -5.68629926  4.81804654],7.653745186457967,7.655822161608957,-0.0020769751509899237,0.02713671673659566
2023-07-03 13:12:00+00:00,[ 2.60313094 -4.7966151   5.37091824],[ 3.02500378 -4.26154499  5.59823517],7.657060132600608,7.6584365618423345,-0.001376429241726207,0.017975949227118357
2023-07-03 13:16:00+00:00,[ 3.74557194 -3.15458149  5.8907508 ],[ 4.08120223 -2.52507771  5.97114526],7.660394147663653,7.660731354122677,-0.0003372064590241308,0.00440194659078966
2023-07-03 13:20:00+00:00,[ 4.6167641  -1.28042873  5.98096831],[ 4.84126981 -0.60332106  5.90854057],7.663288488711528,7.662423986108068,0.00086450260346016,0.011281091723659141
2023-07-03 13:24:00+00:00,[5.15212783 0.68879374 5.63390613],[5.24911764 1.36306068 5.41448691],7.665491257539627,7.663409091091381,0.0020821664482459923,0.02716285725586099
2023-07-03 13:28:00+00:00,[5.31189343 2.60858373 4.87458642],[5.27476777 3.23000606 4.52516635],7.666975522715295,7.663761783353154,0.003213739362140977,0.041916650869948474
2023-07-03 13:32:00+00:00,[5.08418453 4.33809972 3.75869373],[4.91653473 4.86112531 3.30594962],7.667843246296534,7.6636907521771755,0.004152494119358252,0.05415465582664136
2023-07-03 13:36:00+00:00,[4.48574937 5.75090688 2.36814469],[4.20084556 6.13784343 1.84616708],7.6683105468001145,7.663456027510529,0.004854519289585468,0.06330624275005654
2023-07-03 13:40:00+00:00,[3.56035503 6.74412525 0.80469223],[3.17994484 6.96779131 0.25227484],7.668564589866299,7.663276554629205,0.005288035237093425,0.06895730191907559
2023-07-03 13:44:00+00:00,[ 2.37539064  7.24554911 -0.81752423],[ 1.92791175  7.29104593 -1.35988748],7.668690135831262,7.663255732233592,0.005434403597669224,0.07086482178067756
2023-07-03 13:48:00+00:00,[ 1.01703923  7.21868121 -2.38019487],[ 0.53539461  7.08412517 -2.87322471],7.668706205138057,7.663347635908058,0.005358569229999333,0.06987579243039815
2023-07-03 13:52:00+00:00,[-0.4159028   6.66523272 -3.76923638],[-0.8966549   6.36171003 -4.17755425],7.6684708542142435,7.663374196097484,0.005096658116759301,0.06646250880589066
2023-07-03 13:56:00+00:00,[-1.81887778  5.62531884 -4.88285722],[-2.26403797  5.17595862 -5.17749951],7.667778230870369,7.663087932075869,0.004690298794500336,0.061168941684010346
2023-07-03 14:00:00+00:00,[-3.08918988  4.17489442 -5.6392512 ],[-3.46686466  3.61318467 -5.79965413],7.666419737108281,7.662260899331952,0.004158837776329527,0.05424745733917004
2023-07-03 14:04:00+00:00,[-4.1336928   2.42050018 -5.98288458],[-4.41710585  1.78778422 -5.99836981],7.664277217879515,7.660772603074585,0.0035046148049300285,0.04572661850949664
2023-07-03 14:08:00+00:00,[-4.8760193   0.49130743 -5.88896904],[-5.04542184 -0.16634437 -5.75945085],7.661390447098429,7.658669992217476,0.0027204548809534046,0.035508631230036225
2023-07-03 14:12:00+00:00,[-5.26248118 -1.47093569 -5.36541703],[-5.30648985 -2.10615628 -5.10121324],7.658006265217086,7.6561808529347495,0.0018254122823364582,0.023836651722623163
2023-07-03 14:16:00+00:00,[-5.26600308 -3.32295723 -4.45186221],[-5.1822302  -3.89048202 -4.07276141],7.654535284985295,7.653675308395142,0.0008599765901529111,0.011234863491187932
2023-07-03 14:20:00+00:00,[-4.88764702 -4.93079402 -3.21611138],[-4.68269436 -5.39052205 -2.74979921],7.651483217801961,7.651584806680955,-0.00010158887899347491,0.00132770178149405
2023-07-03 14:24:00+00:00,[-4.15586695 -6.17924899 -1.74855976],[-3.84477071 -6.4988695  -1.22862625],7.649301233622859,7.650299931102609,-0.0009986974797495662,0.01305606158324299
2023-07-03 14:28:00+00:00,[-3.12401778 -6.97950359 -0.15541219],[-2.72912139 -7.13655483  0.38094663],7.64834037119347,7.650074427072298,-0.0017340558788276894,0.022672315753085426
2023-07-03 14:32:00+00:00,[-1.86628517 -7.27471379  1.44881447],[-1.415802   -7.25800506  1.96318046],7.648760971633966,7.650961397316407,-0.00220042568244061,0.02876839386929546
2023-07-03 14:36:00+00:00,[-0.47264155 -7.04345509  2.94887251],[ 1.11502950e-03 -6.85398528e+00  3.40414713e+00],7.650457419393923,7.6527990376019295,-0.0023416182080060466,0.030607558210441643
2023-07-03 14:40:00+00:00,[ 0.9569997  -6.30136674  4.23644106],[ 1.41975332 -5.95251199  4.59942956],7.653136880438238,7.655249886899735,-0.0021130064614975907,0.027609678155613944
2023-07-03 14:44:00+00:00,[ 2.31946353 -5.10060596  5.21764066],[ 2.73736312 -4.61753251  5.4615391 ],7.656361163785974,7.65788304480976,-0.0015218810237866975,0.019877341092333564
2023-07-03 14:48:00+00:00,[ 3.51554519 -3.52696998  5.81999243],[ 3.85770994 -2.94506598  5.92659321],7.659692361708664,7.660277195789001,-0.0005848340803371599,0.007635216307913177
2023-07-03 14:52:00+00:00,[ 4.45741182 -1.69418763  5.99821638],[ 4.69840219 -1.0566591   5.95957397],7.66272742573728,7.662116772146307,0.0006106535909733424,0.007969141495524192
2023-07-03 14:56:00+00:00,[5.07530676 0.2640003  5.73807126],[5.19741199 0.90957583 5.55743358],7.665109047361456,7.663255675147517,0.0018533722139393305,0.02417933264207523
2023-07-03 15:00:00+00:00,[5.32333129 2.20394816 5.05806983],[5.31800432 2.80956569 4.74952212],7.666766852817139,7.6637320986363875,0.0030347541807511647,0.03958323291957222
2023-07-03 15:04:00+00:00,[5.18304289 3.98332834 4.00800022],[5.05149453 4.5043856  3.59523263],7.667783513631285,7.663731747508694,0.0040517661225907275,0.052841425626946326
2023-07-03 15:08:00+00:00,[4.6647155  5.47188844 2.66494915],[4.41762993 5.87068641 2.17921869],7.668317143000466,7.663511415775314,0.004805727225151379,0.06266990704131195
2023-07-03 15:12:00+00:00,[3.80634248 6.56110795 1.12733163],[3.46277103 6.80952579 0.60484677],7.668588996752446,7.663306357534775,0.005282639217671026,0.06888671722931244
2023-07-03 15:16:00+00:00,[ 2.67052419  7.17184655 -0.49258212],[ 2.25627586  7.25311207 -1.01340018],7.668749540913968,7.663249665039153,0.005499875874814819,0.07171802711083637
2023-07-03 15:20:00+00:00,[ 1.33981755  7.25965417 -2.076662  ],[ 0.88551016  7.16931678 -2.55800089],7.668781828962452,7.6633282477751985,0.0054535811872531426,0.07111404795291959
2023-07-03 15:24:00+00:00,[-0.08895951  6.81795698 -3.5092483 ],[-0.55020653  6.56393183 -3.91658015],7.66859014180479,7.663388827050576,0.005201314754214259,0.06782621913589632
2023-07-03 15:28:00+00:00,[-1.51166617  5.87869997 -4.68548555],[-1.94650504  5.48056453 -4.98989398],7.667986881579248,7.663191985325262,0.004794896253986103,0.06253135703068102
2023-07-03 15:32:00+00:00,[-2.8242227   4.51039496 -5.51899562],[-3.20146338  3.99794941 -5.69920186],7.666760022416075,7.6624975738287775,0.00426244858729774,0.05559647849724253
2023-07-03 15:36:00+00:00,[-3.93038582  2.81345382 -5.94853218],[-4.22324524  2.2245112  -5.99241603],7.664756366265844,7.661155284551046,0.0036010817147982266,0.04698233763368294
2023-07-03 15:40:00+00:00,[-4.74917962  0.91282353 -5.94290389],[-4.93719874  0.29032457 -5.84830802],7.6619880288241085,7.659172699611312,0.002815329212796591,0.036744108737907566
2023-07-03 15:44:00+00:00,[-5.2212125  -1.05175977 -5.50345955],[-5.2916276 -1.6629083 -5.2781699],7.658676489065986,7.656739790646675,0.0019366984193105452,0.025287638433030817
2023-07-03 15:48:00+00:00,[-5.31301693 -2.93666131 -4.66365285],[-5.2615704  -3.49281777 -4.32468498],7.655180369615,7.654201406903046,0.0009789627119536348,0.012788238352153545
2023-07-03 15:52:00+00:00,[-5.01919595 -4.60519221 -3.48605059],[-4.85025643 -5.06706163 -3.05822804],7.651971776296908,7.651984039695762,-1.226339885374017e-05,0.00016026455941366415
2023-07-03 15:56:00+00:00,[-4.36228416 -5.93759226 -2.05705538],[-4.08830959 -6.27273201 -1.57119283],7.649575270745946,7.65049600775503,-0.0009207370090837941,0.012036446161984215
2023-07-03 16:00:00+00:00,[-3.39037146 -6.83902188 -0.48019851],[-3.03107153 -7.02386602  0.02891474],7.648361229646659,7.650027750449536,-0.0016665208028765477,0.02178925331634131
2023-07-03 16:04:00+00:00,[-2.17345964 -7.24543764  1.13105408],[-1.75450495 -7.26687776  1.62698845],7.648501601879745,7.6506791471089866,-0.0021775452292418507,0.02847021995401927
2023-07-03 16:08:00+00:00,[-0.79864294 -7.12765196  2.66099273],[-0.35003461 -6.98396285  3.10804576],7.649976166808805,7.65233361995976,-0.0023574531509549246,0.030816477065422527
2023-07-03 16:12:00+00:00,[ 0.63564264 -6.49324777  3.99932561],[ 1.0814846  -6.1944977   4.36495238],7.652510274419498,7.654686148228206,-0.002175873808707429,0.028433464715243207
2023-07-03 16:16:00+00:00,[ 2.02604919 -5.38659489  5.04868017],[ 2.4365609  -4.95426877  5.30593123],7.6556809824797725,7.657317694137988,-0.0016367116582154395,0.02137904729783147
2023-07-03 16:20:00+00:00,[ 3.2715085  -3.88648649  5.73174346],[ 3.61640734 -3.35222952  5.86145286],7.659009614206975,7.659795977402975,-0.0007863631960001172,0.010267165542415087
2023-07-03 16:24:00+00:00,[ 4.28063995 -2.10120921  5.9973544 ],[ 4.53437347 -1.50457667  5.98986729],7.662063580252613,7.66177550282362,0.00028807742899328304,0.003759789069562711
2023-07-03 16:28:00+00:00,[ 4.97894478 -0.16084187  5.82494956],[5.1227584  0.45369679 5.68103422],7.6645807852631,7.6630701557891046,0.001510629473995273,0.01970922502245396
2023-07-03 16:32:00+00:00,[5.31459422 1.79249225 5.22642415],[5.33820397 2.37910724 4.95735912],7.666384386581251,7.663679421387412,0.002704965193839115,0.0352834538087304
2023-07-03 16:36:00+00:00,[5.26262884 3.61541034 4.24547487],[5.16501871 4.13076627 3.87202847],7.667497055651571,7.663762306299246,0.0037347493523256503,0.04870884625345679
